Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
xQcOW,6196161750,215250,222720,27716,3246298,1734810,93036735,True,False,English
summit1g,6091677300,211845,310998,25610,5310163,1370184,89705964,True,False,English
